"SUN" "CONST"
"1" 2.89897948556636 1
"2" 4.92820323027551 1
"3" 6.24621125123532 1
"4" 7.79795897113271 1
"5" 10.1655250605964 1
"6" 13.3622914957372 1
"7" 8.95445115010332 1
"8" 7.16515138991168 1
"9" 4.6332495807108 1
"10" 4 1
"11" 2 1
"12" 0 1
"13" 0 1
"14" 1.46410161513775 1
"15" 4.92820323027551 1
"16" 8.58300524425836 1
"17" 11.856406460551 1
"18" 14 1
"19" 13.6204993518133 1
"20" 10.6491106406735 1
"21" 8.77032961426901 1
"22" 8.39230484541326 1
"23" 7.59166304662544 1
"24" 4.92820323027551 1
"25" 7.38083151964686 1
"26" 10.8062484748657 1
"27" 15.7763888346312 1
"28" 20.1810730128188 1
"29" 18.3960780543711 1
"30" 15.2046505340853 1
"31" 11.856406460551 1
"32" 10 1
"33" 4.92820323027551 1
"34" 2.89897948556636 1
"35" 6.24621125123532 1
"36" 9.83215956619923 1
"37" 14.8522995463527 1
"38" 16.1107702762748 1
"39" 19.1660104885167 1
"40" 18.1990098767242 1
"41" 15.2046505340853 1
"42" 10.8062484748657 1
"43" 7.16515138991168 1
"44" 6.24621125123532 1
"45" 2.89897948556636 1
"46" 4.92820323027551 1
"47" 7.59166304662544 1
"48" 10.8062484748657 1
"49" 13.6204993518133 1
"50" 16.099723754798 1
"51" 16.3738945245694 1
"52" 11.9570770578943 1
"53" 11.9713993572584 1
"54" 9.2605506082074 1
"55" 5.26636084983398 1
"56" 4.51152823843988 1
"57" 4.6932802122726 1
"58" 9.55854662143991 1
"59" 11.9427400463467 1
"60" 12.8323969741913 1
"61" 13.9874951133691 1
"62" 16.6440338982743 1
"63" 13.7733953225043 1
"64" 11.5793961574144 1
"65" 10.2311078811365 1
"66" 7.35948716543807 1
"67" 5.0427267446636 1
"68" 10.4579292019179 1
"69" 14.8285471743701 1
"70" 18.6978259727924 1
"71" 18.1791972090071 1
"72" 16.1769084280028 1
"73" 14.431676725155 1
"74" 9.96662024132127 1
"75" 9.24277545804416 1
"76" 3.65685424949238 1
"77" 7.1214034007931 1
"78" 17.3390796058137 1
"79" 22.9319072675959 1
"80" 20.5299800266223 1
"81" 16.5256578830551 1
"82" 14.6252819524963 1
"83" 10.5698050899765 1
"84" 7.75704873412037 1
"85" 4.6932802122726 1
"86" 8.01998003990028 1
"87" 16.3193886360872 1
"88" 21.0651251893416 1
"89" 20.969545054267 1
"90" 19.8265892892133 1
"91" 17.0682982984848 1
"92" 14.4438438328756 1
"93" 13.6204993518133 1
"94" 11.8419651783986 1
"95" 10.9614813968157 1
"96" 7.44457516249408 1
"97" 6.24621125123532 1
"98" 3.44058820349418 1
"99" 2.51663591625449 1
"100" 3.58569601750758 1
"101" 5.87400787401181 1
"102" 9.83215956619923 1
"103" 11.5646599662505 1
"104" 11.2815661727072 1
"105" 11.9283882771841 1
"106" 11.145341380124 1
"107" 8.78888316740894 1
"108" 4.66333249958307 1
"109" 4.03324125159934 1
"110" 1.74165738677394 1
"111" 0 1
"112" 1.09838667696593 1
"113" 2.89897948556636 1
"114" 5.26636084983398 1
"115" 5.72010362624751 1
"116" 10.0664825031987 1
"117" 11.6821051011897 1
"118" 10.9614813968157 1
"119" 9.15347479487895 1
"120" 7.97997995989972 1
"121" 6.14861951498535 1
"122" 3.51361950083609 1
"123" 2.47213595499958 1
"124" 1.3466401061363 1
"125" 4.16441400296898 1
"126" 6.39047078536121 1
"127" 10.214745187682 1
"128" 12.226735395023 1
"129" 14.1493033905491 1
"130" 14.4924225024706 1
"131" 14.9587735405601 1
"132" 11.9713993572584 1
"133" 8.67707825203131 1
"134" 4.16441400296898 1
"135" 5.53657747256671 1
"136" 13.2184099037974 1
"137" 20.1359436211787 1
"138" 21.6050841981129 1
"139" 18.4156802482798 1
"140" 16.6225669551756 1
"141" 14.1987653850533 1
"142" 10.280065146407 1
"143" 8.03992031840891 1
"144" 4.84105255059483 1
"145" 6 1
"146" 10.8218563398597 1
"147" 13.8113883008419 1
"148" 17.94993734326 1
"149" 20.4232022690783 1
"150" 17.7281524730523 1
"151" 14.4438438328756 1
"152" 14.1864140562386 1
"153" 12.8458748479165 1
"154" 10.6491106406735 1
"155" 7.2951600308978 1
"156" 3.54977477020464 1
"157" 2.60434577328853 1
"158" 7.73652915571047 1
"159" 12.9398795175865 1
"160" 17.4730583114209 1
"161" 17.6773982019981 1
"162" 15.6861527755473 1
"163" 13.5048379546514 1
"164" 11.4164078649987 1
"165" 11.856406460551 1
"166" 9.22497216032182 1
"167" 6.31865373723417 1
"168" 3.76194411635517 1
"169" 10.4257796536073 1
"170" 15.3205080756888 1
"171" 21.6643191323985 1
"172" 19.1849002829846 1
"173" 18.258331619361 1
"174" 14.3951212255354 1
"175" 11.5203550249245 1
"176" 6.48528137423857 1
"177" 5.01427116670007 1
"178" 5.32120208708925 1
"179" 2.19523539268061 1
"180" 3.29150262212918 1
"181" 9.54123043700281 1
"182" 12.8727939540626 1
"183" 13.582040944626 1
"184" 14.0872620417522 1
"185" 14.062378404209 1
"186" 12.5876660230484 1
"187" 8.2761860629321 1
"188" 5.50999334220743 1
"189" 3.58569601750758 1
"190" 3.40370243444252 1
"191" 3.69209978830308 1
"192" 10.0995867698033 1
"193" 15.2046505340853 1
"194" 16.5580171354593 1
"195" 15.7763888346312 1
"196" 14.1245154965971 1
"197" 11.0843417870369 1
"198" 8.43072384832424 1
"199" 8.52615789355261 1
"200" 5.23878442834154 1
"201" 4.48074069840786 1
"202" 1.84707681233427 1
"203" 2.89897948556636 1
"204" 8.07968253468332 1
"205" 11.114877048604 1
"206" 14.062378404209 1
"207" 12.8054044186574 1
"208" 13.8745078663875 1
"209" 12.0712472794703 1
"210" 11.4014924542008 1
"211" 6.85437744847146 1
"212" 3.17687164221791 1
"213" 2.28952211790544 1
"214" 1.09838667696593 1
"215" 4.51152823843988 1
"216" 11.9140217047409 1
"217" 13.2446712001276 1
"218" 18.484140206511 1
"219" 16.0665436650179 1
"220" 14.0748250379281 1
"221" 10.4257796536073 1
"222" 8.4115320678563 1
"223" 5.79743547584717 1
"224" 3.21536192416212 1
"225" 6.41427358718505 1
"226" 11.4610549363711 1
"227" 14.1121072488983 1
"228" 14.7332005306815 1
"229" 15.7538728169377 1
"230" 14.2357629940819 1
"231" 10.1161049846888 1
"232" 7.4233751915118 1
"233" 4.95701085237043 1
"234" 3.17687164221791 1
"235" 4.22896460095897 1
"236" 10.1819538662728 1
"237" 15.9666357451806 1
"238" 19.4848784031933 1
"239" 19.0333069202158 1
"240" 16.9525723847714 1
"241" 14.5891530826622 1
"242" 11.9283882771841 1
"243" 9.24277545804416 1
"244" 6.31865373723417 1
"245" 4.51152823843988 1
"246" 9.69615321377076 1
"247" 17.3494185959165 1
"248" 22.7062745066916 1
"249" 21.4350165350912 1
"250" 21.2980685894775 1
"251" 16.4282391996631 1
"252" 14.7809415707224 1
"253" 9.40175425099138 1
"254" 5.72010362624751 1
"255" 2.6475800154489 1
"256" 10.4899959967968 1
"257" 21.8914210544287 1
"258" 25.6550176279098 1
"259" 25.261694738222 1
"260" 23.298221281347 1
"261" 19.2884945451763 1
"262" 12.8189068422742 1
"263" 10.4257796536073 1
"264" 8.75174404457249 1
"265" 4.6932802122726 1
"266" 6.02496105909555 1
"267" 11.856406460551 1
"268" 17.4627850011246 1
"269" 18.6784912409005 1
"270" 18.6397674405503 1
"271" 18.5426385841741 1
"272" 14.4438438328756 1
"273" 14.7212439728628 1
"274" 10.4899959967968 1
"275" 9.91637528781298 1
"276" 6.12403840463596 1
"277" 5.37563556583431 1
"278" 8.67707825203131 1
"279" 17.3390796058137 1
"280" 23.0119971213816 1
